age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,lifestyle_change
1,1,5,7,5,0.5,3,3,0.0,0.0,0.5,1.0,-0.5,-0.5,100,1,0,2,0
1,1,5,7,7,1.5,3,1,0.0,1.0,0.5,0.0,-1.0,-0.5,100,1111,0,2,0
1,0,5,7,7,1.5,2,2,0.0,0.0,0.0,0.0,0.5,0.0,1010,1000,0,2,0
1,1,5,7,7,1.5,2,2,0.0,0.0,0.0,-1.0,0.0,0.0,1110,1111,1,2,0
1,1,5,7,4,0.5,2,1,0.0,-0.5,0.5,0.5,0.0,0.5,1100,1101,0,0,0
1,1,5,5,9,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1100,1011,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
3,1,7,7,5,0.5,2,3,0.0,-0.5,0.5,0.5,-0.5,0.5,110,1001,0,0,0
1,0,5,11,9,0.5,2,3,-0.5,-0.5,-0.5,1.0,0.0,0.0,100,1111,0,2,0
1,1,7,7,9,1.5,1,2,0.0,-1.0,0.5,0.5,0.0,0.0,1000,1101,0,2,0
1,1,5,9,4,2.5,2,4,0.0,0.0,0.0,0.5,0.0,0.0,1000,1000,0,0,0
1,1,5,7,9,0.5,4,4,-0.5,-0.5,0.5,0.5,0.0,-0.5,1001,1001,0,1,0
1,1,5,7,5,0.5,3,4,0.5,-0.5,0.0,0.0,-0.5,0.0,1100,1111,0,0,0
1,0,5,7,4,1.5,4,3,0.0,-0.5,0.5,0.0,0.5,0.0,10,1111,0,0,0
1,0,5,7,7,0.5,3,3,-0.5,0.0,0.5,0.5,-0.5,0.5,1000,1101,0,0,0
1,1,5,9,5,0.5,3,3,0.5,1.0,-1.0,1.0,0.0,0.0,1,1111,0,0,0
1,0,5,5,5,0.5,5,4,-0.5,0.0,0.0,0.0,0.0,0.0,100,1011,0,2,0
1,1,5,5,7,0.5,3,5,0.5,-0.5,0.0,0.5,0.0,0.0,110,1111,0,0,0
1,1,5,7,5,0.5,5,4,-1.0,1.0,0.5,0.5,-0.5,0.0,1000,1111,0,2,0
1,1,5,7,4,0.5,4,3,-1.0,0.0,0.5,0.0,-0.5,0.0,1100,1101,0,2,0
1,1,5,12,7,0.5,3,4,-0.5,0.0,0.0,0.0,0.0,0.0,1111,1,1,0,0
1,0,5,7,7,0.5,2,2,0.0,0.5,0.5,0.0,0.0,-0.5,1,101,1,2,0
1,1,1,12,12,1.5,2,2,0.5,-0.5,-0.5,0.5,-0.5,-0.5,1000,1,1,2,0
1,0,5,7,9,1.5,3,1,0.0,-0.5,0.0,0.0,0.0,-0.5,1000,1000,1,2,0
1,1,5,5,5,0.5,1,2,-0.5,-1.0,0.5,0.5,0.5,1.0,10,100,0,1,0
1,1,5,5,5,0.5,1,2,-0.5,-1.0,0.5,0.5,0.5,1.0,10,100,0,1,0
1,1,5,5,5,0.5,3,3,-0.5,0.0,0.0,0.5,0.0,-0.5,1110,1111,1,2,0
1,1,7,9,11,1.5,4,5,0.0,-0.5,-0.5,0.5,0.0,0.0,1100,1100,0,2,0
1,1,5,5,4,0.5,4,4,-0.5,-0.5,0.0,0.5,0.0,0.0,1000,1000,0,0,0
1,0,5,9,4,0.5,3,2,-0.5,-1.0,0.0,1.0,-0.5,0.5,1100,1100,0,1,0
0,1,6,7,5,1.5,3,3,0.5,-1.0,0.5,-0.5,0.5,0.0,1111,1111,0,1,0
1,1,5,7,9,0.5,4,3,0.0,-1.0,0.5,1.0,-1.0,0.0,1000,1111,0,1,0
0,1,5,7,4,1.5,3,5,-1.0,-1.0,1.0,0.0,-0.5,1.0,100,1111,0,1,0
1,0,5,7,9,0.5,4,4,0.5,-0.5,-0.5,0.0,-0.5,0.0,100,11,1,2,0
1,1,5,7,7,0.5,2,2,0.0,-1.0,0.5,1.0,-0.5,0.0,1100,1101,1,2,0
0,0,6,7,4,2.5,3,4,-0.5,-1.0,0.5,0.0,0.5,0.0,1000,1001,0,2,0
1,0,5,7,7,2.5,4,2,0.0,-1.0,0.5,0.5,0.0,0.5,1000,1101,0,1,0
1,1,5,5,7,0.5,3,4,0.0,-1.0,1.0,1.0,-0.5,0.0,100,1111,0,0,0
0,1,6,7,5,0.5,4,2,-0.5,-1.0,0.5,0.5,-0.5,0.0,10,1000,0,1,0
1,0,5,5,5,2.5,2,2,0.5,0.5,-0.5,0.5,-1.0,0.0,1100,1101,0,2,0
1,0,5,9,11,0.5,3,3,0.0,0.0,0.0,0.0,0.5,0.0,1110,1111,0,1,0
1,0,5,5,5,0.5,3,3,0.0,0.5,0.0,0.5,-0.5,0.0,100,1111,0,0,0
1,1,7,9,7,0.5,3,3,0.5,-1.0,0.0,0.5,0.5,1.0,1001,1101,0,2,0
1,1,5,5,5,1.5,3,3,-0.5,0.0,0.5,0.5,0.0,0.5,100,1111,0,1,0
1,1,5,7,12,0.5,5,5,0.0,-0.5,0.5,1.0,-1.0,0.5,100,1111,0,1,0
1,1,5,7,11,0.5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,100,1111,0,0,0
0,0,5,9,7,1.5,4,4,-1.0,-1.0,0.5,0.5,0.5,0.5,10,1000,0,2,0
0,1,5,5,7,0.5,4,5,0.0,0.0,-0.5,0.5,-0.5,-0.5,100,1111,0,2,0
1,0,5,5,5,0.5,4,3,0.0,-0.5,0.5,0.5,-1.0,-0.5,1100,111,0,0,0
0,1,5,9,7,0.5,3,2,-0.5,0.5,1.0,1.0,-0.5,0.0,11,1100,0,0,0
0,1,5,7,7,0.5,5,2,-1.0,-1.0,0.5,1.0,-1.0,0.5,1000,1111,0,0,0
0,0,5,4,9,0.5,1,2,-1.0,-1.0,1.0,-0.5,0.5,0.5,101,1100,1,2,0
0,1,5,5,5,1.5,4,4,-0.5,-0.5,0.0,0.5,-0.5,0.0,1000,1011,0,0,0
1,0,5,5,7,1.5,3,2,0.5,-0.5,-0.5,0.0,0.0,0.0,1000,1100,0,0,0
0,1,5,7,7,0.5,3,2,-0.5,0.0,-0.5,1.0,0.0,0.0,1110,1000,1,2,0
3,0,2,4,4,1.5,4,2,-0.5,-0.5,0.5,0.5,-0.5,-0.5,1000,1100,0,1,0
1,1,5,7,7,1.5,3,3,0.0,0.0,-0.5,1.0,-0.5,0.0,1111,1110,0,1,0
0,0,6,5,5,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1111,1011,0,2,0
0,1,5,9,5,0.5,4,4,-0.5,0.5,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
0,1,5,7,5,0.5,4,5,-1.0,-1.0,0.5,1.0,-0.5,0.5,1000,1111,0,0,0
1,1,5,5,5,0.5,2,2,0.0,-0.5,0.5,0.5,-1.0,0.0,100,1111,1,0,0
1,1,5,7,5,0.5,2,1,0.0,-1.0,0.5,0.5,-0.5,0.0,1110,1,0,0,0
1,1,5,9,7,3.0,3,3,0.5,-1.0,0.5,0.0,-0.5,-0.5,1001,1,1,2,0
1,1,5,5,7,0.5,4,2,0.0,0.0,0.5,0.0,-0.5,-0.5,1000,1111,0,0,0
1,0,5,7,9,0.5,3,2,-0.5,-0.5,0.5,0.5,0.0,0.5,100,1111,0,0,0
1,1,5,7,9,0.5,3,1,0.0,-0.5,1.0,0.5,0.0,0.0,1100,1001,0,2,0
0,1,5,12,12,0.5,5,5,-1.0,0.0,0.0,0.0,0.0,0.0,1000,10,0,1,0
0,0,5,11,7,2.5,4,5,-0.5,0.0,-0.5,1.0,0.0,1.0,101,1010,0,1,0
1,1,5,7,7,2.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,0,0
1,0,5,5,4,0.5,1,3,0.0,0.0,0.5,0.0,-0.5,-0.5,10,1101,0,0,0
1,1,5,5,7,0.5,4,3,0.0,0.5,0.5,0.5,-0.5,0.0,1110,1111,0,0,0
1,0,5,5,7,0.5,4,4,0.5,-1.0,0.5,1.0,0.0,-0.5,1000,1111,0,2,0
1,1,5,5,9,0.5,5,3,0.0,0.5,-0.5,0.5,-0.5,-0.5,10,1000,1,0,0
0,1,5,7,9,1.5,4,3,0.0,0.0,0.5,0.5,0.0,0.0,1100,1111,0,0,0
1,1,5,7,11,2.5,2,1,0.5,-1.0,-1.0,0.5,0.5,0.5,1110,1101,1,2,0
0,0,5,5,4,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,0,0,0
0,0,5,5,4,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,0,0,0
1,1,5,7,5,0.5,4,4,0.0,-0.5,0.0,0.0,-0.5,0.0,1000,1101,0,2,0
1,1,5,7,4,1.5,3,3,-0.5,-0.5,0.5,0.0,0.5,1.0,1010,1111,0,0,0
1,1,5,5,4,0.5,2,5,-1.0,-1.0,1.0,0.5,1.0,1.0,1111,1000,0,0,0
1,1,5,7,9,0.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,0,2,0
1,1,5,7,7,1.5,3,3,0.0,0.5,-0.5,1.0,-0.5,0.0,111,1111,0,2,0
1,1,5,7,5,1.5,3,3,0.0,-1.0,0.0,1.0,0.5,1.0,1000,1100,0,0,0
1,0,0,7,4,0.5,2,4,-0.5,-0.5,-0.5,0.5,0.0,0.0,100,1111,0,2,0
1,0,5,7,5,2.5,1,5,-1.0,-0.5,0.5,0.5,-0.5,0.0,100,1111,0,1,0
0,1,5,5,4,0.5,1,3,-0.5,-0.5,-0.5,0.5,0.5,0.5,1100,1001,0,0,0
1,0,5,9,5,1.5,3,5,-0.5,-0.5,0.5,0.5,0.0,0.5,10,1111,0,0,0
1,1,5,5,7,0.5,2,3,0.0,-1.0,0.0,1.0,0.0,0.0,100,1101,0,1,0
1,1,5,7,9,0.5,3,3,0.0,0.5,-0.5,0.5,0.5,0.5,1000,1110,0,0,0
1,1,5,9,5,3.0,3,3,-0.5,0.0,0.5,0.5,0.5,0.0,1111,1101,0,0,0
1,1,7,7,9,0.5,2,4,0.0,0.5,-0.5,0.0,-0.5,0.0,1010,1011,0,2,0
1,1,5,9,4,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0.0,111,1100,0,2,0
1,1,5,7,7,1.5,3,4,-0.5,0.5,1.0,1.0,-0.5,-0.5,1010,1110,0,2,0
1,0,0,7,4,0.5,2,3,0.0,-1.0,0.5,1.0,0.0,0.0,1111,1000,0,2,0
1,1,5,9,4,0.5,3,2,-0.5,-0.5,0.5,0.5,0.0,0.5,1111,1111,0,0,0
1,1,0,9,4,1.5,5,3,-0.5,-0.5,0.5,0.5,0.0,0.5,1000,1,0,2,0
1,1,5,5,5,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,100,1,0,0,0
1,1,5,5,4,0.5,2,3,0.0,-0.5,0.0,0.0,0.0,0.0,1010,1110,0,2,0
1,1,5,7,4,0.5,3,4,-0.5,-1.0,0.5,0.5,-0.5,0.5,1110,1111,0,1,0
4,0,2,7,9,0.5,3,3,0.0,-0.5,0.5,1.0,0.5,-0.5,1100,101,0,2,0
4,1,7,9,11,2.5,3,3,-0.5,-0.5,1.0,0.5,-1.0,0.5,1100,1001,0,2,0
1,0,5,7,4,1.5,2,4,-0.5,0.5,0.0,1.0,-1.0,0.0,100,10,0,1,0
0,1,5,7,5,0.5,2,3,0.0,0.0,0.0,0.0,0.0,0.0,10,1000,0,0,0
0,1,6,11,7,0.5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1010,1111,0,1,0
0,0,5,4,4,1.5,1,3,0.0,-0.5,1.0,0.5,0.0,0.0,1111,1111,0,2,0
0,1,6,7,7,0.5,1,3,0.0,-0.5,0.5,0.0,0.5,-0.5,1010,1110,0,1,0
0,1,6,7,7,0.5,3,3,0.0,0.0,0.0,0.0,0.5,0.5,10,1,0,0,0
0,0,5,7,5,0.5,3,4,0.0,0.5,0.5,0.5,-0.5,0.5,1,10,0,1,0
0,1,5,4,5,1.5,2,5,-1.0,-0.5,1.0,0.0,-1.0,0.5,1000,1000,0,0,0
0,1,5,4,7,0.5,4,4,0.0,-1.0,0.5,0.5,0.0,0.5,1100,1001,0,0,0
0,0,5,9,12,0.5,3,2,0.0,0.5,0.0,0.5,0.0,-0.5,1100,1001,0,1,0
2,0,7,7,9,1.5,2,2,0.5,-0.5,1.0,0.0,-0.5,0.0,10,1011,1,0,0
1,1,5,7,7,0.5,1,1,-0.5,0.0,1.0,1.0,0.0,0.0,100,1000,1,2,0
0,1,5,9,5,0.5,2,2,-0.5,0.0,0.5,0.5,0.5,0.0,1100,1111,0,2,0
5,1,4,12,12,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1000,1,0,1,0
1,1,5,5,4,0.5,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,0,0,0
1,1,5,9,4,2.5,1,1,0.0,-0.5,0.5,0.0,0.0,0.0,1010,1011,0,0,0
5,1,7,9,11,2.5,4,3,-0.5,-0.5,0.5,0.5,0.0,0.5,1100,1101,0,2,0
1,1,5,7,7,2.5,3,3,0.0,-0.5,0.5,0.5,0.0,0.0,1000,1,0,0,0
1,1,5,4,7,0.5,4,3,0.5,-0.5,0.0,0.0,-0.5,0.5,1000,1101,0,2,0
4,0,2,5,9,0.5,1,2,0.5,0.0,0.5,0.5,0.0,0.0,100,10,1,0,0
0,1,5,7,9,0.5,4,3,-0.5,-1.0,0.5,0.5,-0.5,0.0,100,1110,0,1,0
1,1,5,7,5,1.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,100,0,1,0
1,1,5,9,4,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0.0,111,1100,0,2,0
1,1,5,7,11,0.5,3,3,1.0,-1.0,1.0,-1.0,-1.0,1.0,10,1111,0,0,0
0,1,5,7,5,1.5,5,5,0.0,0.5,-0.5,0.0,-0.5,-0.5,100,1111,0,0,0
5,0,2,7,9,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100,100,1,0,0
1,1,5,7,5,1.5,1,4,-0.5,-0.5,0.0,0.0,0.0,0.0,1010,1100,1,0,0
1,1,5,7,4,0.5,2,3,0.0,0.0,-1.0,1.0,0.0,-1.0,100,101,1,2,0
0,1,6,7,5,0.5,4,2,-0.5,0.0,0.5,1.0,0.0,0.0,100,1000,0,1,0
1,1,5,7,4,0.5,1,1,0.0,0.0,1.0,0.0,-1.0,1.0,10,1111,0,2,0
0,0,5,7,12,1.5,1,3,1.0,-1.0,0.0,-1.0,1.0,-0.5,1111,1100,1,2,0
1,1,7,9,9,0.5,4,2,-0.5,-0.5,1.0,0.0,-0.5,0.5,1000,1110,0,0,0
4,0,3,9,4,2.5,3,5,-0.5,0.0,0.0,0.5,0.0,0.0,10,1000,0,1,0
5,1,7,11,11,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,1,2,0
2,1,7,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
2,1,1,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,0,2,0
2,1,7,7,5,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,1,1,0
3,1,7,7,7,3.0,2,5,-0.5,0.5,-0.5,0.5,0.5,0.5,1000,100,0,2,0
5,1,7,9,9,0.5,2,4,-1.0,0.0,0.5,0.5,-0.5,0.0,1100,1,0,2,0
4,1,7,9,11,0.5,2,2,0.5,0.0,0.0,1.0,0.0,0.0,1100,1111,0,1,0
2,2,7,11,11,2.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1000,1001,0,0,0
4,1,7,7,9,0.5,2,2,-0.5,0.0,0.5,0.5,0.0,0.5,1100,1010,0,2,0
4,1,7,9,12,1.5,2,1,1.0,0.0,-0.5,-0.5,0.5,0.0,1000,1,1,2,0
2,1,7,9,12,0.5,3,3,0.0,-1.0,0.0,0.0,0.0,0.0,1100,1111,0,2,0
2,1,7,9,11,0.5,3,2,0.0,0.0,-0.5,1.0,0.5,0.0,1111,1010,0,2,0
1,1,7,9,4,0.5,2,2,0.5,-0.5,0.0,1.0,-1.0,-0.5,100,1101,0,2,0
5,0,7,9,11,1.5,3,2,0.0,-0.5,0.5,0.0,0.0,0.0,1000,11,0,1,0
5,1,7,9,5,1.5,2,1,-0.5,-0.5,-0.5,0.5,0.0,0.5,1000,11,0,2,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
2,0,7,7,7,1.5,3,3,0.0,0.0,0.0,0.5,0.0,0.0,1000,1000,1,2,0
4,0,1,9,9,0.5,1,1,0.0,0.0,-0.5,1.0,1.0,0.0,1001,10,1,2,0
4,1,7,9,9,0.5,3,4,0.0,0.0,0.5,0.5,0.0,0.5,1000,1,0,2,0
3,1,1,5,4,0.5,1,2,0.0,-1.0,0.5,0.5,0.5,-0.5,1000,100,0,1,0
1,1,5,7,9,0.5,5,4,0.0,-0.5,0.0,0.0,-0.5,0.0,1000,1110,0,2,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
3,0,2,5,9,0.5,5,3,0.5,-0.5,0.0,1.0,-0.5,-0.5,100,100,1,2,0
2,1,0,5,4,2.5,4,4,-1.0,0.5,0.0,0.5,-0.5,-0.5,100,1101,0,1,0
4,1,7,11,9,1.5,2,1,0.0,-0.5,0.5,0.5,0.5,0.5,1100,1100,1,2,0
5,0,7,7,5,2.5,1,3,0.0,0.0,0.0,0.0,0.5,0.5,1100,100,1,2,0
5,1,7,7,7,1.5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
5,0,3,7,5,0.5,3,2,-0.5,-0.5,0.5,-0.5,-0.5,0.5,1100,1,0,1,0
3,1,7,9,9,2.5,3,1,0.0,0.0,0.0,0.5,0.0,0.0,1101,1001,1,0,0
5,1,7,7,9,0.5,4,4,0.0,0.0,0.5,0.5,0.0,0.5,1000,11,1,2,0
3,1,7,9,9,0.5,2,3,0.5,-0.5,0.0,1.0,0.5,0.0,1110,110,0,2,0
5,1,1,9,12,0.5,1,2,0.0,-0.5,0.5,0.5,0.0,-0.5,1000,1000,1,2,0
5,1,7,9,9,1.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1000,11,1,2,0
3,1,7,9,9,0.5,2,3,0.5,-0.5,0.0,1.0,0.5,0.0,1110,110,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
2,0,1,5,9,1.5,1,2,0.5,0.0,0.5,0.5,-0.5,-0.5,100,11,0,0,0
2,1,1,7,9,1.5,1,2,1.0,-0.5,0.5,-0.5,-0.5,0.0,100,1001,0,2,0
4,1,7,9,11,1.5,4,2,-0.5,-0.5,0.5,1.0,0.5,0.5,1100,1111,0,1,0
1,1,5,12,11,1.5,2,3,0.0,-0.5,0.0,0.0,-0.5,0.5,1000,1111,1,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
2,0,7,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
1,1,5,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,1,2,0
1,1,7,9,11,0.5,4,5,0.0,-0.5,0.5,0.5,0.0,0.5,110,1101,0,2,0
5,1,7,9,9,1.5,1,3,0.0,0.0,0.5,0.0,-0.5,-0.5,1111,1110,1,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
